GEO_COD,N_INDIVIDUOS_RESIDENT,N_INDIVIDUOS_RESIDENT_20A64,N_INDIVIDUOS_RESIDENT_65,N_INDIV_RESIDENT_N_LER_ESCRV,N_IND_RESIDENT_ENSINCOMP_1BAS,N_IND_RESIDENT_ENSINCOMP_2BAS,N_IND_RESIDENT_ENSINCOMP_3BAS,N_IND_RESIDENT_ENSINCOMP_SEC,N_IND_RESIDENT_ENSINCOMP_POSEC,N_IND_RESIDENT_ENSINCOMP_SUP,N_IND_RESID_DESEMP_PROC_EMPRG,N_IND_RESID_EMPREGADOS,N_IND_RESID_PENS_REFORM,N_IND_RESID_SEM_ACT_ECON
11060100101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11060100102,54,31,17,2,15,6,10,10,0,4,2,21,18,25
11060100103,34,17,15,2,13,1,3,3,0,9,0,14,17,18
11060100104,4,2,2,0,2,1,0,0,0,1,0,2,2,2
11060100105,41,20,16,1,19,2,6,4,0,4,1,15,19,21
11060100106,32,16,8,0,8,6,2,7,1,2,1,9,12,15
11060100107,46,23,14,2,15,12,6,2,2,0,5,15,13,19
11060100108,40,38,1,29,2,0,2,1,0,6,0,3,5,37
11060100109,15,7,0,0,4,3,1,1,0,3,3,4,0,3
11060100110,73,41,15,2,15,5,15,16,0,9,1,27,16,32
11060100111,19,11,7,0,1,1,1,5,0,10,0,6,7,13
11060100112,11,5,5,0,2,1,1,1,0,5,0,2,4,8
11060100113,41,13,28,5,24,3,2,2,1,0,0,8,30,33
11060100114,63,26,31,5,28,4,8,3,0,2,2,14,31,42
11060100115,3,2,1,0,0,1,0,0,0,1,0,0,3,3
11060100201,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11060100202,113,68,32,2,37,7,19,18,1,19,9,47,36,48
11060100203,448,263,84,41,173,62,57,31,1,2,40,125,124,197
11060100204,253,148,45,25,98,24,27,14,1,3,26,70,59,105
11060100301,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11060100302,40,19,14,3,11,3,9,4,0,5,1,16,14,18
11060100303,34,19,13,2,11,3,5,6,0,6,2,10,14,21
11060100304,18,8,8,4,6,0,2,4,0,0,0,4,10,13
11060100305,158,89,40,4,60,21,33,12,0,6,10,56,45,68
11060100306,69,39,21,5,22,7,10,8,1,8,4,23,26,37
11060100307,23,13,4,0,7,5,5,2,0,2,1,10,5,6
11060100308,53,37,10,3,17,9,13,5,0,2,0,25,14,23
11060100309,38,19,16,4,13,3,6,5,0,7,0,15,18,23
11060100310,51,27,18,1,21,9,12,4,0,0,3,16,19,27
11060100311,59,28,23,1,27,5,16,7,0,1,2,20,25,33
11060100312,47,21,22,1,20,4,9,4,0,5,2,16,24,25
11060100313,49,26,18,5,11,4,11,10,1,4,3,15,18,28
11060100401,162,101,6,44,49,13,9,2,0,0,10,33,12,65
11060100402,23,12,10,0,9,2,4,3,0,4,1,8,10,13
11060100403,324,199,42,33,100,45,46,19,1,5,48,96,55,102
11060100404,21,14,4,0,10,2,2,2,0,0,1,9,6,8
11060100405,117,53,38,9,33,18,19,11,1,5,7,34,42,51
11060100406,64,36,15,2,14,8,13,8,1,6,8,25,14,22
11060100407,106,63,26,5,34,11,13,19,2,7,3,41,35,48
11060100501,37,21,12,1,12,4,7,6,0,4,2,16,13,15
11060100502,60,30,19,2,16,6,8,9,1,12,2,22,20,28
11060100503,118,71,25,6,21,17,16,20,1,17,4,55,25,36
11060100504,70,43,18,2,14,10,13,12,3,10,3,27,21,33
11060100505,44,24,15,1,14,3,7,7,0,8,0,19,17,20
11060100506,38,23,3,0,11,5,2,6,1,6,2,14,10,12
11060100507,201,120,47,0,15,15,21,22,4,100,8,91,45,71
11060100508,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11060100601,153,77,40,10,57,22,25,11,1,4,5,53,44,70
11060100602,11,11,0,0,0,1,2,2,1,5,2,6,2,3
11060100603,36,21,4,1,1,5,6,0,0,17,0,15,9,13
11060100604,31,13,10,0,4,4,3,3,2,8,1,11,10,12
11060100605,34,19,8,0,10,2,12,4,0,3,1,13,9,15
11060100606,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11060100607,14,8,6,1,3,2,3,2,0,3,2,5,6,7
11060100608,18,9,5,0,2,3,3,7,0,2,0,8,3,6
11060100609,25,10,9,0,5,2,4,4,0,4,1,7,9,13
11060100610,20,14,4,0,3,1,6,5,0,3,0,11,5,7
11060100611,20,7,7,1,5,2,6,3,0,1,1,4,5,14
11060100612,21,9,7,0,2,3,2,5,0,5,1,6,7,9
11060100613,18,8,10,0,6,1,3,2,0,3,1,5,11,12
11060100614,21,15,3,0,1,0,3,6,0,10,2,7,4,11
11060100615,11,4,4,0,5,1,0,0,0,4,0,4,3,4
11060100616,16,7,5,0,2,3,1,4,1,3,0,3,7,11
