GEO_COD,N_INDIV_RESIDENT_N_LER_ESCRV,N_IND_RESIDENT_ENSINCOMP_1BAS,N_IND_RESIDENT_ENSINCOMP_2BAS,N_IND_RESIDENT_ENSINCOMP_3BAS,N_IND_RESIDENT_ENSINCOMP_SEC,N_IND_RESIDENT_ENSINCOMP_POSEC,N_IND_RESIDENT_ENSINCOMP_SUP,YEAR,
11060100101,0,0,0,0,0,0,0,[1946 - 1960],0
11060100102,2,15,6,10,10,0,4,[1946 - 1960],0
11060100103,2,13,1,3,3,0,9,[1946 - 1960],0
11060100104,0,2,1,0,0,0,1,[1946 - 1960],0
11060100105,1,19,2,6,4,0,4,[1946 - 1960],0
11060100106,0,8,6,2,7,1,2,[1946 - 1960],0
11060100107,2,15,12,6,2,2,0,[1946 - 1960],0
11060100108,29,2,0,2,1,0,6,[1946 - 1960],0
11060100109,0,4,3,1,1,0,3,[1946 - 1960],0
11060100110,2,15,5,15,16,0,9,[1946 - 1960],0
11060100111,0,1,1,1,5,0,10,[1946 - 1960],0
11060100112,0,2,1,1,1,0,5,[- 1945],0
11060100113,5,24,3,2,2,1,0,[1946 - 1960],0
11060100114,5,28,4,8,3,0,2,[1946 - 1960],0
11060100115,0,0,1,0,0,0,1,[1946 - 1960],0
11060100201,0,0,0,0,0,0,0,[- 1945],0
11060100202,2,37,7,19,18,1,19,[1946 - 1960],0
11060100203,41,173,62,57,31,1,2,[1961 - 1995],1
11060100204,25,98,24,27,14,1,3,[1961 - 1995],1
11060100301,0,0,0,0,0,0,0,[- 1945],0
11060100302,3,11,3,9,4,0,5,[1946 - 1960],0
11060100303,2,11,3,5,6,0,6,[1946 - 1960],0
11060100304,4,6,0,2,4,0,0,[1946 - 1960],0
11060100305,4,60,21,33,12,0,6,[1946 - 1960],0
11060100306,5,22,7,10,8,1,8,[1946 - 1960],0
11060100307,0,7,5,5,2,0,2,[1946 - 1960],0
11060100308,3,17,9,13,5,0,2,[1946 - 1960],0
11060100309,4,13,3,6,5,0,7,[1946 - 1960],0
11060100310,1,21,9,12,4,0,0,[1946 - 1960],0
11060100311,1,27,5,16,7,0,1,[1946 - 1960],0
11060100312,1,20,4,9,4,0,5,[1946 - 1960],0
11060100313,5,11,4,11,10,1,4,[1946 - 1960],0
11060100401,44,49,13,9,2,0,0,[1996 - ],1
11060100402,0,9,2,4,3,0,4,[- 1945],0
11060100403,33,100,45,46,19,1,5,[1961 - 1995],1
11060100404,0,10,2,2,2,0,0,[- 1945],0
11060100405,9,33,18,19,11,1,5,[- 1945],0
11060100406,2,14,8,13,8,1,6,[1961 - 1995],1
11060100407,5,34,11,13,19,2,7,[- 1945],0
11060100501,1,12,4,7,6,0,4,[1946 - 1960],0
11060100502,2,16,6,8,9,1,12,[1946 - 1960],0
11060100503,6,21,17,16,20,1,17,[1946 - 1960],0
11060100504,2,14,10,13,12,3,10,[1946 - 1960],0
11060100505,1,14,3,7,7,0,8,[1946 - 1960],0
11060100506,0,11,5,2,6,1,6,[1946 - 1960],0
11060100507,0,15,15,21,22,4,100,[1946 - 1960],0
11060100508,0,0,0,0,0,0,0,[- 1945],0
