ANO,GEO_COD,GEO_COD_DSG,NIVEL,NIVEL_DSG,N_EDIFICIOS_CLASSICOS,N_EDIFICIOS_CLASSICOS_1OU2,N_EDIFICIOS_CLASSICOS_ISOLADOS ,N_EDIFICIOS_CLASSICOS_GEMIN,N_EDIFICIOS_CLASSICOS_EMBANDA,N_EDIFICIOS_CLASSICOS_3OUMAIS,N_EDIFICIOS_CLASSICOS_OUTROS,N_EDIFICIOS_EXCLUSIV_RESID,N_EDIFICIOS_PRINCIPAL_RESID,N_EDIFICIOS_PRINCIP_NAO_RESID,N_EDIFICIOS_1OU2_PISOS,N_EDIFICIOS_3OU4_PISOS,.N_EDIFICIOS_5OU_MAIS_PISOS,N_EDIFICIOS_CONSTR_ANTES_1919,N_EDIFICIOS_CONSTR_1919A1945,N_EDIFICIOS_CONSTR_1946A1960,N_EDIFICIOS_CONSTR_1961A1970,N_EDIFICIOS_CONSTR_1971A1980,N_EDIFICIOS_CONSTR_1981A1990,N_EDIFICIOS_CONSTR_1991A1995,N_EDIFICIOS_CONSTR_1996A2000,N_EDIFICIOS_CONSTR_2001A2005,N_EDIFICIOS_CONSTR_2006A2011,N_EDIFICIOS_ESTRUT_BETAO,N_EDIFICIOS_ESTRUT_COM_PLACA,N_EDIFICIOS_ESTRUT_SEM_PLACA,N_EDIFICIOS_ESTRUT_ADOBE_PEDRA,N_EDIFICIOS_ESTRUT_OUTRA,N_ALOJAMENTOS,N_ALOJAMENTOS_FAMILIARES,N_ALOJAMENTOS_FAM_CLASSICOS,N_ALOJAMENTOS_FAM_N_CLASSICOS,N_ALOJAMENTOS_COLECTIVOS,N_CLASSICOS_RES_HABITUAL,N_ALOJAMENTOS_RES_HABITUAL,N_ALOJAMENTOS_VAGOS,N_RES_HABITUAL_COM_AGUA,N_RES_HABITUAL_COM_RETRETE,N_RES_HABITUAL_COM_ESGOTOS,N_RES_HABITUAL_COM_BANHO,N_RES_HABITUAL_AREA_50,N_RES_HABITUAL_AREA_50_100,N_RES_HABITUAL_AREA_100_200,N_RES_HABITUAL_AREA_200,N_RES_HABITUAL_1_2_DIV,N_RES_HABITUAL_3_4_DIV,N_RES_HABITUAL_ESTAC_1,N_RES_HABITUAL_ESTAC_2,N_RES_HABITUAL_ESTAC_3,N_RES_HABITUAL_PROP_OCUP,N_RES_HABITUAL_ARREND,N_FAMILIAS_CLASSICAS,N_FAMILIAS_INSTITUCIONAIS,N_FAMILIAS_CLASSICAS_1OU2_PESS,N_FAMILIAS_CLASSICAS_3OU4_PESS,N_FAMILIAS_CLASSICAS_NPES65,N_FAMILIAS_CLASSICAS_NPES14,N_FAMILIAS_CLASSIC_SEM_DESEMP,N_FAMILIAS_CLASSIC_1DESEMPREG,N_FAMILIAS_CLASS_2MAIS_DESEMP,N_NUCLEOS_FAMILIARES,N_NUCLEOS_1FILH_NAO_CASADO,N_NUCLEOS_2FILH_NAO_CASADO,N_NUCLEOS_FILH_INF_6ANOS,N_NUCLEOS_FILH_INF_15ANOS,N_NUCLEOS_FILH_MAIS_15ANOS,N_INDIVIDUOS_PRESENT,N_INDIVIDUOS_PRESENT_H,N_INDIVIDUOS_PRESENT_M,N_INDIVIDUOS_RESIDENT,N_INDIVIDUOS_RESIDENT_H,N_INDIVIDUOS_RESIDENT_M,N_INDIVIDUOS_RESIDENT_0A4,N_INDIVIDUOS_RESIDENT_5A9,N_INDIVIDUOS_RESIDENT_10A13,N_INDIVIDUOS_RESIDENT_14A19,N_INDIVIDUOS_RESIDENT_15A19,N_INDIVIDUOS_RESIDENT_20A24,N_INDIVIDUOS_RESIDENT_20A64,N_INDIVIDUOS_RESIDENT_25A64,N_INDIVIDUOS_RESIDENT_65,N_INDIVIDUOS_RESIDENT_H_0A4,N_INDIVIDUOS_RESIDENT_H_5A9,N_INDIVIDUOS_RESIDENT_H_10A13,N_INDIVIDUOS_RESIDENT_H_14A19,N_INDIVIDUOS_RESIDENT_H_15A19,N_INDIVIDUOS_RESIDENT_H_20A24,N_INDIVIDUOS_RESIDENT_H_20A64,N_INDIVIDUOS_RESIDENT_H_25A64,N_INDIVIDUOS_RESIDENT_H_65,N_INDIVIDUOS_RESIDENT_M_0A4,N_INDIVIDUOS_RESIDENT_M_5A9,N_INDIVIDUOS_RESIDENT_M_10A13,N_INDIVIDUOS_RESIDENT_M_14A19,N_INDIVIDUOS_RESIDENT_M_15A19,N_INDIVIDUOS_RESIDENT_M_20A24,N_INDIVIDUOS_RESIDENT_M_20A64,N_INDIVIDUOS_RESIDENT_M_25A64,N_INDIVIDUOS_RESIDENT_M_65,N_INDIV_RESIDENT_N_LER_ESCRV,N_IND_RESIDENT_FENSINO_1BAS,N_IND_RESIDENT_FENSINO_2BAS,N_IND_RESIDENT_FENSINO_3BAS,N_IND_RESIDENT_FENSINO_SEC,N_IND_RESIDENT_FENSINO_POSSEC,N_IND_RESIDENT_FENSINO_SUP,N_IND_RESIDENT_ENSINCOMP_1BAS,N_IND_RESIDENT_ENSINCOMP_2BAS,N_IND_RESIDENT_ENSINCOMP_3BAS,N_IND_RESIDENT_ENSINCOMP_SEC,N_IND_RESIDENT_ENSINCOMP_POSEC,N_IND_RESIDENT_ENSINCOMP_SUP,N_IND_RESID_DESEMP_PROC_1EMPRG,N_IND_RESID_DESEMP_PROC_EMPRG,N_IND_RESID_EMPREGADOS,N_IND_RESID_PENS_REFORM,N_IND_RESID_SEM_ACT_ECON,N_IND_RESID_EMPREG_SECT_PRIM,N_IND_RESID_EMPREG_SECT_SEQ,N_IND_RESID_EMPREG_SECT_TERC,N_IND_RESID_ESTUD_MUN_RESID,N_IND_RESID_TRAB_MUN_RESID,
2011,11060100101, ,8,Subsecção,2,2,2,0,0,0,0,0,0,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,11060100102, ,8,Subsecção,28,28,0,28,0,0,0,28,0,0,28,0,0,0,0,26,1,1,0,0,0,0,0,0,3,25,0,0,28,28,28,0,0,20,20,6,20,20,20,20,3,9,7,1,0,7,3,2,0,18,1,20,0,10,9,11,3,17,3,0,19,8,2,3,3,9,53,26,27,54,26,28,3,1,1,1,1,1,31,30,17,2,0,1,1,1,1,15,14,7,1,1,0,0,0,0,16,16,10,2,0,0,1,1,0,1,15,6,10,10,0,4,1,2,21,18,25,0,6,15,5,15,0
2011,11060100103, ,8,Subsecção,20,20,0,17,3,0,0,20,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20,0,0,20,20,20,0,0,18,18,1,18,18,18,18,2,7,9,0,0,3,2,0,0,18,0,18,0,15,3,10,2,18,0,0,11,5,0,1,2,3,33,14,19,34,14,20,1,0,1,0,0,0,17,17,15,1,0,0,0,0,0,8,8,5,0,0,1,0,0,0,9,9,10,2,0,1,0,0,0,0,13,1,3,3,0,9,0,0,14,17,18,0,1,13,1,13,0
2011,11060100104, ,8,Subsecção,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,4,2,2,4,2,2,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,2,2,2,0,0,2,0,2,0
2011,11060100105, ,8,Subsecção,23,23,0,23,0,0,0,23,0,0,22,0,1,0,1,17,0,1,1,0,0,3,0,0,5,18,0,0,23,23,23,0,0,21,21,2,21,21,21,21,3,11,7,0,0,6,9,0,0,21,0,21,0,17,3,13,2,20,1,0,13,5,1,1,2,6,41,16,25,41,16,25,1,2,1,1,1,0,20,20,16,0,0,0,0,0,0,9,9,7,1,2,1,1,1,0,11,11,9,1,1,1,0,2,0,0,19,2,6,4,0,4,0,1,15,19,21,0,3,12,3,11,0
2011,11060100106, ,8,Subsecção,14,14,0,5,9,0,0,14,0,0,14,0,0,0,0,14,0,0,0,0,0,0,0,0,2,12,0,0,14,14,14,0,0,12,12,1,12,12,12,11,3,6,3,0,1,4,1,1,0,7,3,12,0,8,2,5,3,11,1,0,10,0,3,2,3,1,35,18,17,32,17,15,2,3,1,2,1,2,16,14,8,2,2,0,1,1,1,8,7,4,0,1,1,1,0,1,8,7,4,0,4,1,2,0,0,1,8,6,2,7,1,2,0,1,9,12,15,0,4,5,8,4,1
2011,11060100107, ,8,Subsecção,25,24,2,14,8,1,0,24,1,0,24,1,0,2,4,18,0,0,0,0,0,1,0,1,3,21,0,0,29,29,29,0,0,19,19,7,19,19,19,19,14,5,0,0,4,6,3,1,2,0,19,19,0,14,3,11,5,16,2,1,14,4,3,1,5,6,45,22,23,46,22,24,1,4,2,2,2,1,23,22,14,0,2,1,2,2,1,12,11,5,1,2,1,0,0,0,11,11,9,2,4,3,1,1,0,0,15,12,6,2,2,0,0,5,15,13,19,0,3,12,10,12,0
2011,11060100108, ,8,Subsecção,5,4,1,3,0,0,1,4,0,1,5,0,0,0,1,4,0,0,0,0,0,0,0,0,2,3,0,0,5,4,4,0,1,4,4,0,4,4,4,4,0,2,0,2,0,0,3,1,0,4,0,4,1,1,3,1,0,4,0,0,3,2,1,0,0,3,40,30,10,40,30,10,0,0,0,1,1,6,38,32,1,0,0,0,0,0,5,29,24,1,0,0,0,1,1,1,9,8,0,29,0,0,0,1,0,2,2,0,2,1,0,6,0,0,3,5,37,0,0,3,2,1,1
2011,11060100109, ,8,Subsecção,7,7,2,1,4,0,0,6,0,1,7,0,0,0,0,6,1,0,0,0,0,0,0,0,1,6,0,0,7,7,7,0,0,3,3,3,3,3,3,3,0,2,1,0,0,1,0,0,0,2,0,3,0,0,2,0,2,1,1,1,3,0,2,1,2,2,15,8,7,15,8,7,2,1,2,3,3,0,7,7,0,0,1,1,2,2,0,4,4,0,2,0,1,1,1,0,3,3,0,0,1,3,1,0,0,2,4,3,1,1,0,3,0,3,4,0,3,0,1,3,7,3,1
2011,11060100110, ,8,Subsecção,31,30,1,13,16,1,0,31,0,0,30,1,0,0,0,27,0,0,0,1,0,1,2,0,7,24,0,0,33,33,33,0,0,27,27,3,27,27,27,27,3,18,5,1,0,11,4,2,0,22,1,28,0,14,11,9,8,26,2,0,21,10,2,4,8,10,69,37,32,73,41,32,5,2,2,8,5,3,41,38,15,3,2,1,3,2,1,25,24,7,2,0,1,5,3,2,16,14,8,2,3,1,4,5,1,3,15,5,15,16,0,9,1,1,27,16,32,0,2,25,18,19,1
