Desempregados,Empregados,Pensionistas,Analfabetos,1Ciclo,2Ciclo,3Ciclo,EnsinoSec,EnsinoPosSec,CursoSup,M
0,0,0,0,0,0,0,0,0,0,0
3,21,18,2,15,6,10,10,0,4,1
0,14,17,2,13,1,3,3,0,9,1
0,2,2,0,2,1,0,0,0,1,0
1,15,19,1,19,2,6,4,0,4,1
1,9,12,0,8,6,2,7,1,2,0
5,15,13,2,15,12,6,2,2,0,1
0,3,5,29,2,0,2,1,0,6,0
3,4,0,0,4,3,1,1,0,3,0
2,27,16,2,15,5,15,16,0,9,0
0,6,7,0,1,1,1,5,0,10,0
1,2,4,0,2,1,1,1,0,5,1
0,8,30,5,24,3,2,2,1,0,1
2,14,31,5,28,4,8,3,0,2,1
0,0,3,0,0,1,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0
9,47,36,2,37,7,19,18,1,19,1
48,125,124,41,173,62,57,31,1,2,1
28,70,59,25,98,24,27,14,1,3,0
0,0,0,0,0,0,0,0,0,0,0
1,16,14,3,11,3,9,4,0,5,0
2,10,14,2,11,3,5,6,0,6,1
0,4,10,4,6,0,2,4,0,0,1
12,56,45,4,60,21,33,12,0,6,1
4,23,26,5,22,7,10,8,1,8,1
1,10,5,0,7,5,5,2,0,2,1
1,25,14,3,17,9,13,5,0,2,0
0,15,18,4,13,3,6,5,0,7,1
4,16,19,1,21,9,12,4,0,0,0
2,20,25,1,27,5,16,7,0,1,1
2,16,24,1,20,4,9,4,0,5,0
3,15,18,5,11,4,11,10,1,4,1
25,33,12,44,49,13,9,2,0,0,1
1,8,10,0,9,2,4,3,0,4,0
61,96,55,33,100,45,46,19,1,5,0
1,9,6,0,10,2,2,2,0,0,1
9,34,42,9,33,18,19,11,1,5,1
8,25,14,2,14,8,13,8,1,6,1
4,41,35,5,34,11,13,19,2,7,1
3,16,13,1,12,4,7,6,0,4,1
2,22,20,2,16,6,8,9,1,12,1
8,55,25,6,21,17,16,20,1,17,1
3,27,21,2,14,10,13,12,3,10,1
0,19,17,1,14,3,7,7,0,8,0
2,14,10,0,11,5,2,6,1,6,1
10,91,45,0,15,15,21,22,4,100,1
0,0,0,0,0,0,0,0,0,0,0
7,53,44,10,57,22,25,11,1,4,1
2,6,2,0,0,1,2,2,1,5,1
0,15,9,1,1,5,6,0,0,17,0
1,11,10,0,4,4,3,3,2,8,1
1,13,9,0,10,2,12,4,0,3,1
0,0,0,0,0,0,0,0,0,0,0
2,5,6,1,3,2,3,2,0,3,0
1,8,3,0,2,3,3,7,0,2,0
1,7,9,0,5,2,4,4,0,4,1
0,11,5,0,3,1,6,5,0,3,0
1,4,5,1,5,2,6,3,0,1,0
1,6,7,0,2,3,2,5,0,5,0
1,5,11,0,6,1,3,2,0,3,1
2,7,4,0,1,0,3,6,0,10,1
0,4,3,0,5,1,0,0,0,4,1
1,3,7,0,2,3,1,4,1,3,1
0,4,2,0,2,1,2,1,0,2,1
0,5,0,0,1,2,3,0,0,1,0
1,8,10,0,5,2,1,3,0,7,0
0,0,1,0,0,0,0,1,0,0,0
0,7,7,0,2,0,4,3,0,5,1
1,12,6,0,3,2,3,2,1,9,1
26,89,89,24,107,38,40,29,0,23,1
44,148,135,49,189,70,80,31,1,7,1
12,23,7,5,19,17,8,3,1,2,1
7,27,67,10,46,10,10,7,0,6,1
8,57,49,1,53,17,22,20,1,20,1
3,20,12,3,13,8,11,4,1,5,0
4,12,37,3,21,11,10,8,0,5,0
14,69,101,27,80,36,34,19,0,2,1
3,23,15,2,25,16,12,4,0,1,1
5,16,18,2,17,12,7,3,0,3,1
10,55,65,19,74,22,32,11,1,0,1
27,52,29,16,49,34,28,21,1,1,0
0,0,0,0,0,0,0,0,0,0,0
18,36,30,2,35,16,24,11,0,6,1
2,5,5,1,6,1,1,3,1,1,0
9,53,30,7,36,14,26,13,1,17,1
0,0,3,0,3,0,0,1,0,0,0
2,12,10,1,8,4,5,5,1,7,1
0,7,5,1,1,2,1,6,0,2,1
3,4,6,0,7,0,1,5,1,2,0
6,16,25,3,24,13,15,5,0,0,1
1,8,1,0,1,0,1,8,0,3,1
0,0,2,0,0,0,1,1,0,0,0
4,11,7,1,13,1,3,5,1,3,1
1,2,1,0,1,0,1,1,1,0,0
0,0,2,0,8,9,5,0,0,0,0
10,30,35,5,32,12,16,15,0,6,1
16,42,31,6,40,12,18,19,0,6,1
3,37,6,1,5,6,16,9,2,12,1
6,31,25,1,15,5,21,21,0,15,1
7,16,13,1,25,10,4,2,1,3,1
13,55,44,7,57,18,25,19,1,3,1
11,36,18,17,28,16,18,14,1,19,0
0,0,0,0,0,0,0,0,0,0,0
5,29,22,0,15,4,12,14,0,17,1
2,8,9,2,8,2,2,2,0,4,1
2,19,26,1,24,7,6,9,0,2,1
0,3,6,2,4,0,2,0,0,0,1
0,2,5,0,2,0,0,3,0,2,0
12,111,116,3,70,35,51,46,2,64,1
6,91,111,3,68,20,41,59,2,38,1
24,172,161,8,113,42,82,78,7,68,1
12,71,68,1,44,20,25,40,1,42,1
1,4,4,0,2,0,2,2,0,1,1
13,26,55,8,47,21,16,12,0,4,1
1,24,9,0,4,6,7,10,1,10,0
5,43,14,2,17,8,13,15,2,13,1
7,25,35,3,20,11,17,7,0,16,1
28,204,154,6,97,27,80,106,6,120,1
14,106,63,11,60,35,31,30,4,33,1
3,4,7,0,5,4,2,2,0,0,0
8,42,55,2,30,13,28,21,4,26,1
2,11,4,0,3,2,2,2,2,6,0
2,30,20,2,19,10,15,13,1,3,1
2,7,6,1,3,3,3,2,0,3,1
1,7,13,0,10,3,0,3,1,4,1
0,9,11,2,9,4,4,1,2,1,1
1,7,5,2,6,2,4,3,0,1,1
2,37,16,0,19,12,11,9,0,14,1
1,19,27,6,24,9,7,4,0,3,1
0,18,30,5,20,7,6,3,1,8,1
3,26,11,1,9,4,5,10,0,18,1
24,182,243,7,147,57,92,92,4,101,1
46,197,203,16,152,66,107,73,1,52,1
6,24,48,3,28,17,11,7,1,14,1
3,42,50,6,36,7,19,21,0,19,1
4,38,51,1,35,9,15,16,0,24,1
1,38,16,4,15,6,24,5,1,9,1
2,11,8,0,10,0,2,5,0,6,1
10,48,57,4,47,21,30,25,3,18,1
7,29,17,0,12,6,18,13,1,12,0
6,58,50,4,29,15,32,24,0,20,0
1,10,6,1,5,1,2,3,0,3,0
4,19,17,1,17,8,9,8,0,4,0
3,6,5,0,6,7,5,0,0,0,1
8,75,57,4,35,9,27,22,1,56,1
15,147,78,9,70,20,40,46,5,84,1
22,145,124,5,87,46,69,66,1,55,1
5,30,22,0,10,5,16,9,1,24,1
3,41,26,2,18,6,10,11,1,24,0
0,9,4,0,3,1,1,3,1,5,1
2,15,15,1,9,8,9,3,0,8,1
0,5,6,0,4,0,2,1,0,3,1
19,100,64,5,60,12,33,33,0,63,1
0,7,5,0,1,2,1,4,0,5,1
0,0,0,0,0,0,0,0,0,0,0
2,9,9,1,7,3,2,2,2,4,0
4,13,19,1,18,5,7,4,0,2,1
2,51,60,0,38,16,17,22,2,19,1
4,11,20,0,16,4,7,4,0,9,1
1,6,4,1,0,2,1,3,0,2,1
8,33,48,1,33,17,21,15,0,9,1
26,151,171,15,124,45,60,52,8,69,1
0,0,0,0,0,0,0,0,0,0,0
2,6,5,1,4,2,4,3,1,2,1
0,3,4,0,1,0,4,3,0,0,0
3,57,68,7,44,9,20,19,3,33,1
12,105,130,7,84,29,39,46,3,64,1
4,48,51,4,40,16,18,20,2,20,0
5,29,41,3,34,12,8,9,1,10,1
2,10,7,4,11,6,2,3,0,0,0
2,76,82,10,43,15,21,28,0,61,1
22,189,211,9,134,33,88,84,2,113,1
5,16,11,1,8,4,10,8,1,5,0
